Theme	Layer Name	Subject Keyword	Location Key	URL
Fishing	Scallop 2011-2014 (<5knots)	scallop	Mid Atlantic	
Fishing	Squid 2014	squid	Mid Atlantic	
Fishing	Squid 2014 (<4 knots)	squid	Mid Atlantic	
Fishing	Surfcalm/Ocean Quahog 2006-2010	clam	Mid Atlantic	
Fishing	Surfcalm/Ocean Quahog 2012-2014	clam	Mid Atlantic	
Fishing	Surfcalm/Ocean Quahog 2012-2014 (<5knots)	clam	Mid Atlantic	
Fishing	Bottom Trawl <65ft 2011-2013	trawl	Mid Atlantic	
Fishing	Bottom Trawl over 65ft 2011-2013	trawl	Mid Atlantic	
Fishing	Dredge 2011 - 2013	dredge	Mid Atlantic	
Fishing	Gillnet 2011 - 2013	gillnet	Mid Atlantic	
Fishing	Lobster 2011 - 2013	lobster	Mid Atlantic	
Fishing	Longline 2011 - 2013	longline	Mid Atlantic	
Fishing	Pots and traps 2011 - 2013	pots and traps	Mid Atlantic	
Fishing	Seine 2011 - 2013	seine	Mid Atlantic	
Fishing	Fathom Lines	fathom	Mid Atlantic	
Fishing	Frank R. Lautenberg Deep-sea coral protection area	coral	Mid Atlantic	
Fishing	Groundfish management areas	groundfish management	Mid Atlantic	
Fishing	Scallop management areas	fishery management	Mid Atlantic	
Fishing	Surfclam/ocean quahog management areas	fishery management	Mid Atlantic	
Fishing	Recreational Fishing	Recreational Fishing	Mid Atlantic	https://marinecadastre.gov/espis/#/search/txt=recreational%20fishing&geo=Mid%20Atlantic
				
Security	(general search keyword)	Security	Mid Atlantic	http://marinecadastre.gov/espis/#/search/txt=security&geo=Mid%20Atlantic
Security	(general search keyword)	Defense	Mid Atlantic	http://marinecadastre.gov/espis/#/search/txt=defense&geo=Mid%20Atlantic
Security	(general search keyword)	Military	Mid Atlantic	http://marinecadastre.gov/espis/#/search/txt=military&geo=Mid%20Atlantic
Security	Danger Zones & Restricted Areas	No relevant links		
Security	Unexploded Ordinances	No relevant links		
Security	Military Installation Location	No relevant links		
Security	Military Range Complex	No relevant links		
Security	Oparea Boundary	No relevant links		
Security	Warning Area	No relevant links		
Security	Vacapes Restricted Areas	No relevant links		
Security	Vacapes Airspace Corridors	No relevant links		
Security	Submarine Transit Lanes	No relevant links		
Security	Atlantic City Airspace Corridor	No relevant links		
Security	Sink Exercise (SINKEX) Area	No relevant links		
Security	Ship Shock Trial Area	No relevant links		
Security	Naval Undersea Warfare Center Division - Newport	Naval Undersea Warfare	Mid Atlantic	https://marinecadastre.gov/espis/#/search/txt=naval%20undersea%20warfare&geo=Mid%20Atlantic
				
Recreation	Shore-based Activities	shore recreation	Mid Atlantic	
Recreation	Surface Water Activities	Recreational Boating	Mid Atlantic	
Recreation	Underwater Activities	Recreational Uses	Mid Atlantic	
Recreation	Wildlife and Sightseeing Activities	Wildlife Viewing	Mid Atlantic	
Recreation	Recreational Boating points	Recreational Boating	Mid Atlantic	
Recreation	Recreational Boating density (1km)	Recreational Boating	Mid Atlantic	
Recreation	Recreational Boating density (5km)	Recreational Boating	Mid Atlantic	
Recreation	Recreational Boating routes and density	Recreational Boating	Mid Atlantic	
Recreation	Northeast Recreational Boating Density	Recreational Boating	Mid Atlantic	
